Date,Description,Amount(GBP)
04/03/2022,MONEYSUPERMARKET GROUP EWLOE         LND,9.19
12/03/2022,SAVERS HEALTH & BEAUTY BASINGSTOKE   GBR,14.98
12/03/2022,LONDIS BASINGSTOKE     BASINGSTOKE   GBR,6.08
18/03/2022,THE LIME LEAF          BASINGSTOKE   GBR,49.5
26/03/2022,"SQ *THE ORCHARD COMMUN Basingstoke,  GBR",6.1
26/03/2022,SAVERS HEALTH & BEAUTY BASINGSTOKE   GBR,6.97
27/03/2022,giffgaff               London        GBR,10
27/02/2022,giffgaff               London        GBR,10
28/02/2022,IFLY INDOOR SKYDIVING  HAMPSHIRE     GBR,20
28/02/2022,SLATER MENSWEAR        BASINGSTOKE   GBR,123
03/03/2022,PAYMENT RECEIVED - THANK YOU,-78.84
